Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,Spend per Unit,Is Loyal,Purchase Month,Purchase Day,Purchase Weekday,Has Add-ons,Add-ons Count,Gender_Encoded,Pay_Bank Transfer,Pay_Cash,Pay_Credit Card,Pay_Debit Card,Pay_PayPal,Pay_Paypal,Ship_Expedited,Ship_Express,Ship_Overnight,Ship_Same Day,Ship_Standard,Product_Headphones,Product_Laptop,Product_Smartphone,Product_Smartwatch,Product_Tablet,Add-on Cost per Unit,Total Spend
1000,53,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2024-03-20,Standard,"Accessory,Accessory,Accessory",40.21,791.1899999999999,0,3,20,Wednesday,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5.744285714285715,5578.54
1000,53,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-04-20,Overnight,Impulse Item,26.09,247.03,0,4,20,Saturday,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8.696666666666667,767.1800000000001
1002,41,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-10-17,Express,No Add-ons,0.0,463.96,0,10,17,Tuesday,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,1855.84
1002,41,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2024-08-09,Overnight,"Impulse Item,Impulse Item",60.16,791.19,1,8,9,Friday,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,15.04,3224.92
1003,75,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-21,Express,Accessory,35.56,20.75,1,5,21,Tuesday,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17.78,77.06
1004,41,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-05-26,Standard,"Impulse Item,Accessory",65.78,20.75,0,5,26,Sunday,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,16.445,148.78
1005,25,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-01-30,Overnight,No Add-ons,0.0,844.83,0,1,30,Tuesday,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.0,7603.47
1005,25,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2024-06-24,Overnight,"Extended Warranty,Extended Warranty",75.33,463.96000000000004,0,6,24,Monday,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8.37,4250.97
1006,24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,2023-10-03,Standard,Impulse Item,43.05,791.1899999999999,0,10,3,Tuesday,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6.1499999999999995,5581.38
1006,24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-01-01,Express,No Add-ons,0.0,463.96000000000004,1,1,1,Monday,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,4175.64
