,Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,log_Total Price,log_Unit Price,log_Add-on Total
count,19373.0,19373.0,19373,19373,19373,19373,19373.0,19373,19373,19373.0,19373.0,19373.0,19373,19373,19373,19373.0,19373.0,19373.0,19373.0
unique,,,2,2,5,10,,2,6,,,,366,5,76,,,,
top,,,Male,No,Smartphone,SKU1002,,Completed,Credit Card,,,,2024-07-02,Standard,No Add-ons,,,,
freq,,,9853,15152,5557,2042,,13005,5659,,,,85,6522,4768,,,,
mean,10316.992515356424,48.98074639962835,,,,,3.097145511794766,,,3020.7803701027206,566.1823605017292,5.4047901718887115,,,,59.605862282558206,7.504330813224696,6.0170985656590545,3.1418245206990214
std,5625.110369137301,18.045397558203266,,,,,1.2166927816599116,,,2329.337808046409,305.5888060328061,2.8432774196759163,,,,54.35959842551167,1.2856997912232138,1.0771326019113714,1.89791380075322
min,1000.0,18.0,,,,,1.0,,,20.75,20.75,1.0,,,,0.0,3.079613757534693,3.079613757534693,0.0
25%,5337.0,33.0,,,,,2.0,,,1083.54,361.18,3.0,,,,6.49,6.98891121294314,5.8921413258131965,2.0135687975291283
50%,9740.0,49.0,,,,,3.0,,,2470.3,463.96,5.0,,,,50.31,7.81249960695592,6.141951380381918,3.9378856649538734
75%,15334.0,65.0,,,,,4.0,,,4595.0,791.19,8.0,,,,91.54,8.432941638968646,6.674801262033164,4.527640983478854
max,19998.0,80.0,,,,,5.0,,,9117.44,1139.68,10.0,,,,221.44,9.118054015805628,7.039379854786431,5.404657402319363
